epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2696,1.87457,3.32455,1.5329,0.00603,1,0.8457,0.44413,1.25794,3.06795,1.10369,0.0002,0.0002,0.0002
2,119.26,1.49935,1.88077,1.26228,0.00603,1,0.93357,0.56073,1.20463,2.93904,1.03826,0.00039921,0.00039921,0.00039921
3,165.53,1.50187,1.64335,1.26488,0.00587,0.97368,0.78523,0.38026,1.35939,3.18357,1.21777,0.00057664,0.00057664,0.00057664
4,209.73,1.47251,1.49588,1.24695,0.00587,0.97368,0.875,0.48778,1.20336,2.94802,1.12373,0.00073229,0.00073229,0.00073229
5,265.428,1.43675,1.43258,1.27634,1,0.37061,0.91866,0.52636,1.40924,2.68189,1.32679,0.00086616,0.00086616,0.00086616
6,318.086,1.38195,1.25038,1.26145,0.94641,0.92957,0.95322,0.57198,1.37009,2.23769,1.37187,0.00097825,0.00097825,0.00097825
7,363.795,1.34902,1.19436,1.24879,0.89803,0.69547,0.83562,0.45638,1.5784,2.45602,1.59882,0.00106856,0.00106856,0.00106856
8,407.099,1.41224,1.29147,1.28413,0.94769,0.95358,0.96975,0.59855,1.3573,1.52053,1.38426,0.00113709,0.00113709,0.00113709
9,451.327,1.38614,1.22566,1.27737,0.90227,0.9719,0.96307,0.55636,1.43331,1.49459,1.41614,0.00118384,0.00118384,0.00118384
10,501.021,1.34698,1.16535,1.26624,0.94007,0.89474,0.97537,0.58916,1.35354,1.31013,1.3401,0.001109,0.001109,0.001109
11,547.608,1.28354,1.22396,1.28092,0.92395,0.95931,0.98542,0.61649,1.30263,1.27352,1.34173,0.00101,0.00101,0.00101
12,592.972,1.28231,1.15203,1.30382,0.98774,0.94737,0.992,0.58832,1.41947,1.14208,1.44128,0.000911,0.000911,0.000911
13,634.911,1.26034,1.07162,1.28923,0.9997,0.97368,0.99354,0.60091,1.40414,1.10709,1.38812,0.000812,0.000812,0.000812
14,679.86,1.24849,1.03173,1.24771,0.96084,0.94737,0.98754,0.61328,1.30246,0.97212,1.31759,0.000713,0.000713,0.000713
15,721.594,1.20283,0.97221,1.23641,0.94245,0.86197,0.96986,0.5943,1.34402,1.0048,1.32201,0.000614,0.000614,0.000614
16,765.205,1.17438,0.91783,1.20435,0.92159,0.94737,0.97584,0.61371,1.3405,0.92653,1.31847,0.000515,0.000515,0.000515
17,830.369,1.15208,0.90935,1.2225,0.92473,0.97005,0.98095,0.6002,1.38372,0.91271,1.35013,0.000416,0.000416,0.000416
18,888.669,1.13126,0.89525,1.16701,0.92433,0.96446,0.98555,0.62748,1.35765,0.88955,1.33575,0.000317,0.000317,0.000317
19,954.053,1.11052,0.87366,1.17387,0.97277,0.94043,0.98867,0.67154,1.25259,0.85768,1.27534,0.000218,0.000218,0.000218
20,1021.22,1.10132,0.84531,1.18435,0.96566,0.97368,0.99178,0.68048,1.20746,0.83382,1.24334,0.000119,0.000119,0.000119
